Problem,Solved,Solution Length,Simulations,Generated
000_p-2-2-1-1-3-2,True,9,17,80
001_p-2-2-1-1-3-21,True,13,44,202
002_p-2-2-1-1-3-24,True,12,30,169
003_p-2-2-1-1-3-23,True,15,47,335
004_p-2-2-2-1-3-19,True,3,4,14
005_p-2-1-2-1-3-26,True,6,8,28
006_p-2-1-2-1-3-11,True,6,7,24
007_p-2-1-2-1-3-28,True,7,11,37
008_p-2-1-2-1-3-15,True,6,7,27
009_p-2-1-2-1-3-16,True,9,21,121
010_p-2-1-2-1-3-21,True,10,22,97
011_p-2-2-2-1-3-15,True,9,11,43
012_p-2-1-2-1-3-23,True,10,54,276
013_p-2-2-2-1-3-11,True,14,45,163
014_p-2-2-2-1-3-28,True,13,44,178
015_p-2-2-2-1-3-21,True,16,533,3575
016_p-2-2-2-1-3-16,True,17,60,343
017_p-2-2-2-1-3-23,True,16,58,327
018_p-1-2-1-2-3-19,True,5,6,43
019_p-1-1-1-2-3-15,True,6,7,31
020_p-1-1-1-2-3-16,True,8,23,154
021_p-1-1-1-2-3-27,True,9,12,85
022_p-1-2-1-2-3-15,True,9,11,50
023_p-1-2-1-2-3-16,True,17,297,1871
024_p-1-2-1-2-3-27,True,15,66,462
025_p-1-2-2-2-3-7,True,7,13,62
026_p-1-1-2-2-3-19,True,6,7,41
027_p-1-1-2-2-3-16,True,8,14,97
028_p-1-1-2-2-3-5,True,13,23,146
029_p-1-2-2-2-3-19,True,11,14,78
030_p-1-2-2-2-3-16,True,11,27,191
031_p-1-2-2-2-3-5,True,17,70,500
032_p-2-1-1-2-3-7,True,6,7,46
033_p-1-1-1-2-3-17,True,8,9,36
034_p-2-1-1-2-3-19,True,6,7,47
035_p-2-1-1-2-3-17,True,6,8,45
036_p-1-1-1-2-3-4,True,5,7,58
037_p-1-2-1-2-3-17,True,11,13,60
038_p-1-1-1-2-3-1,True,10,20,158
039_p-1-1-1-2-3-21,True,8,15,91
040_p-1-1-1-2-3-0,True,10,20,158
041_p-1-1-1-2-3-26,True,8,10,67
042_p-2-2-1-2-3-19,True,11,20,124
043_p-2-2-1-2-3-17,True,11,15,90
044_p-2-1-1-2-3-16,True,10,19,117
045_p-1-1-1-2-3-25,True,11,33,212
046_p-2-1-1-2-3-10,True,10,14,103
047_p-1-2-1-2-3-4,True,13,25,207
048_p-1-2-1-2-3-25,True,14,35,212
049_p-2-2-1-2-3-16,True,13,20,125
050_p-1-2-1-2-3-21,True,14,131,795
051_p-1-2-1-2-3-26,True,17,69,344
052_p-1-2-1-2-3-1,True,16,343,3212
053_p-2-2-1-2-3-10,True,15,31,250
054_p-1-2-1-2-3-0,True,16,343,3212
055_p-2-1-2-2-3-14,True,6,7,51
056_p-2-1-2-2-3-15,True,6,7,39
057_p-1-1-2-2-3-4,True,7,12,84
058_p-1-1-2-2-3-9,True,6,8,46
059_p-1-1-2-2-3-14,True,6,7,52
060_p-2-2-2-2-3-15,True,9,20,108
061_p-2-2-2-2-3-14,True,9,14,103
062_p-2-1-2-2-3-23,True,11,24,167
063_p-1-1-2-2-3-21,True,8,21,144
064_p-1-2-2-2-3-14,True,8,12,96
065_p-1-2-2-2-3-4,True,10,21,156
066_p-1-1-2-2-3-23,True,9,19,132
067_p-1-1-2-2-3-25,True,10,34,256
068_p-1-1-2-2-3-13,True,9,10,69
069_p-2-2-2-2-3-23,True,12,30,252
070_p-1-2-2-2-3-23,True,15,45,293
071_p-1-2-2-2-3-9,True,12,29,273
072_p-1-2-2-2-3-13,True,15,66,394
073_p-1-2-2-2-3-25,True,16,135,955
074_p-1-2-2-2-3-21,True,19,392,2614
075_p-2-1-1-2-3-9,True,6,9,67
076_p-2-1-1-2-3-4,True,7,16,120
077_p-2-1-1-2-3-13,True,9,13,104
078_p-2-2-1-2-3-4,True,10,30,263
079_p-2-2-1-2-3-9,True,12,57,468
080_p-2-1-2-2-3-26,True,12,14,86
081_p-2-2-2-2-3-26,True,20,177,1075
082_p-1-1-1-1-3-3,True,6,7,25
083_p-1-2-1-1-3-3,True,9,14,64
084_p-1-1-2-1-3-17,True,5,6,13
085_p-1-2-2-1-3-10,True,10,17,61
086_p-2-1-1-1-3-17,True,3,4,18
087_p-2-1-1-1-3-13,True,5,8,52
088_p-2-2-1-1-3-10,True,10,18,80
089_p-2-2-1-1-3-13,True,8,19,130
090_p-2-1-2-1-3-17,True,3,4,21
091_p-2-1-2-1-3-8,True,4,5,16
092_p-2-1-2-1-3-4,True,3,4,13
093_p-2-1-2-1-3-20,True,6,7,34
094_p-2-2-2-1-3-17,True,6,10,49
095_p-2-2-2-1-3-8,True,7,10,33
096_p-2-2-2-1-3-4,True,7,8,28
097_p-2-1-2-1-3-10,True,11,17,79
098_p-2-2-2-1-3-20,True,12,17,105
099_p-2-2-2-1-3-10,True,20,82,446
100_p-1-1-1-2-3-20,True,9,12,79
101_p-1-1-1-2-3-10,True,8,9,71
102_p-1-2-1-2-3-20,True,15,64,410
103_p-1-2-1-2-3-10,True,16,72,645
104_p-1-1-1-2-3-18,True,6,10,53
105_p-1-1-2-2-3-17,True,6,8,43
106_p-2-1-2-2-3-17,True,6,8,55
107_p-2-1-2-2-3-16,True,10,14,86
108_p-2-2-2-2-3-17,True,9,20,142
109_p-1-1-2-2-3-0,True,10,17,120
110_p-1-1-2-2-3-1,True,10,17,120
111_p-1-2-2-2-3-0,True,66,341,2172
112_p-1-2-2-2-3-1,True,66,341,2172
113_p-2-1-1-2-3-26,True,13,26,148
114_p-2-2-1-2-3-26,True,17,86,452
115_p-2-1-2-2-3-22,True,15,98,617
116_p-2-2-2-2-3-22,True,17,62,497

SUMMARY,117/117,11.1,47.2,
Coverage,100.0%,,,
